1##1	سمو اله رحم رحم
35##40	قول رای شرك دعو دون اله رای خلق ارض شرك سمو اتی كتب بین وعد ظلم بعض بعض غرر
35##41	اله مسك سمو ارض زول زول مسك احد بعد كون حلم غفر
35##42	قسم اله جهد یمن جیا نذر كون هدی احد امم جیا نذر زید نفر
35##43	كبر ارض مكر سوا حیق مكر سوا اهل نظر سنن اول وجد سنن اله بدل وجد سنن اله حول
35##44	سیر ارض نظر كیف كون عقب قبل كون شدد قوی كون اله عجز شیا سمو ارض كون علم قدر
35##45	اخذ اله نوس كسب ترك ظهر دبب اخر اجل سمو جیا اجل اله كون عبد بصر
36##1	یسٓ
36##2	قرا حكم
36##3	رسل
36##4	صرط قوم
36##5	نزل عزز رحم
36##6	نذر قوم نذر ابو غفل
36##7	حقق قول كثر امن
36##8	جعل عنق غلل ذقن قمح
36##9	جعل بین یدی سدد خلف سدد غشو بصر
36##10	سوی نذر نذر امن
36##11	نذر تبع ذكر خشی رحم غیب بشر غفر اجر كرم
36##12	حیی موت كتب قدم اثر كلل شیا حصی امم بین
36##13	ضرب مثل صحب قری جیا رسل
36##14	رسل ثنی كذب عزز ثلث قول رسل
36##15	قول بشر مثل نزل رحم شیا كذب
36##16	قول ربب علم رسل
36##17	بلغ بین
36##18	قول طیر نهی رجم مسس عذب الم
36##19	قول طیر ذكر قوم سرف
36##20	جیا قصو مدن رجل سعی قول قوم تبع رسل
36##21	تبع سال اجر هدی
36##22	عبد فطر رجع
36##23	اخذ دون اله رود رحم ضرر غنی شفع شیا نقذ
36##24	ضلل بین
36##25	امن ربب سمع
36##26	قول دخل جنن قول قوم علم
36##27	غفر ربب جعل كرم
36##28	نزل قوم بعد جند سمو كون نزل
36##29	كون صیح وحد خمد
36##30	حسر عبد اتی رسل كون هزا
36##31	رای هلك قبل قرن رجع
36##32	كلل جمع حضر
36##33	ایی ارض موت حیی خرج حبب اكل
36##34	جعل جنن نخل عنب فجر عین
36##35	اكل ثمر عمل یدی شكر
36##36	سبح خلق زوج كلل نبت ارض نفس علم
36##37	ایی لیل سلخ نهر ظلم
36##38	شمس جری قرر قدر عزز علم
36##39	قمر قدر نزل عود عرجن قدم
36##40	شمس بغی درك قمر لیل سبق نهر كلل فلك سبح
36##41	ایی حمل ذرر فلك شحن
36##42	خلق مثل ركب
36##43	شیا غرق صرخ نقذ
36##44	رحم متع حین
36##45	قول وقی بین یدی خلف رحم
36##46	اتی ایی ایی ربب كون عرض
36##47	قول نفق رزق اله قول كفر امن طعم شیا اله طعم ضلل بین
36##48	قول وعد كون صدق
36##49	نظر صیح وحد اخذ خصم
36##50	طوع وصی اهل رجع
36##51	نفخ صور جدث ربب نسل
36##52	قول بعث رقد وعد رحم صدق رسل
36##53	كون صیح وحد جمع حضر
36##54	یوم ظلم نفس شیا جزی كون عمل
36##55	صحب جنن یوم شغل فكه
36##56	زوج ظلل ارك وكا
36##57	فكه دعو
36##58	سلم قول ربب رحم
36##59	میز یوم جرم
36##60	عهد بنی عبد شطن عدو بین
36##61	عبد صرط قوم
36##62	ضلل جبل كثر كون عقل
36##63	كون وعد
36##64	صلی یوم كون كفر
36##65	یوم ختم فوه كلم یدی شهد رجل كون كسب
36##66	شیا طمس عین سبق صرط انی بصر
36##67	شیا مسخ كون طوع مضی رجع
36##68	عمر نكس خلق عقل
36##69	علم شعر بغی ذكر قرا بین
36##70	نذر كون حیی حقق قول كفر
36##71	رای خلق عمل یدی نعم ملك
36##72	ذلل ركب اكل
36##73	نفع شرب شكر
36##74	اخذ دون اله اله نصر
36##75	طوع نصر جند حضر
36##76	حزن قول علم سرر علن
36##77	رای انس خلق نطف خصم بین
36##78	ضرب مثل نسی خلق قول حیی عظم رمم
36##79	قول حیی نشا اول مرر كلل خلق علم
36##80	جعل شجر خضر نور وقد
36##81	لیس خلق سمو ارض قدر خلق مثل خلق علم
36##82	امر رود شیا قول كون كون
36##83	سبح یدی ملك كلل شیا رجع
37##1	صفف صفف
37##2	زجر زجر
37##3	تلو ذكر
37##4	اله وحد
37##5	ربب سمو ارض بین ربب شرق
37##6	زین سمو دنو زین كوكب
37##7	حفظ كلل شطن مرد
37##8	سمع ملا علو قذف كلل جنب
37##9	دحر عذب وصب
37##10	خطف خطف تبع شهب ثقب
37##11	فتی شدد خلق خلق خلق طین لزب
37##12	عجب سخر
37##13	ذكر ذكر
37##14	رای ایی سخر
37##15	قول سحر بین
37##16	موت كون ترب عظم بعث
37##17	ابو اول
37##18	قول دخر
37##19	زجر وحد نظر
37##20	قول یوم دین
37##21	یوم فصل كون كذب
37##22	حشر ظلم زوج كون عبد
37##23	دون اله هدی صرط جحم
37##24	وقف سال
37##25	نصر
37##26	یوم سلم
37##27	قبل بعض بعض سال
37##28	قول كون اتی یمن
37##29	قول كون امن
37##30	كون سلط كون قوم طغی
37##31	حقق قول ربب ذوق
37##32	غوی كون غوی
37##33	عذب شرك
37##34	فعل جرم
37##35	كون قول اله اله كبر
37##36	قول ترك اله شعر جنن
37##37	جیا حقق صدق رسل
37##38	ذوق عذب الم
37##39	جزی كون عمل
37##40	عبد اله خلص
37##41	رزق علم
37##42	فكه كرم
37##43	جنن نعم
37##44	سرر قبل
37##45	طوف كاس عین
37##46	بیض لذذ شرب
37##47	غول نزف
37##48	عند قصر طرف عین
37##49	بیض كنن
37##50	قبل بعض بعض سال
37##51	قول قول كون قرن
37##52	قول صدق
37##53	موت كون ترب عظم دین
37##54	قول طلع
37##55	طلع رای سوی جحم
37##56	قول اله كود ردی
37##57	نعم ربب كون حضر
37##58	موت
37##59	موت اول عذب
37##60	فوز عظم
37##61	مثل عمل عمل
37##62	خیر نزل شجر زقم
37##63	جعل فتن ظلم
37##64	شجر خرج اصل جحم
37##65	طلع راس شطن
37##66	اكل ملا بطن
37##67	شوب حمم
37##68	رجع جحم
37##69	لفو ابو ضلل
37##70	اثر هرع
37##71	ضلل قبل كثر اول
37##72	رسل نذر
37##73	نظر كیف كون عقب نذر
37##74	عبد اله خلص
37##75	ندو نعم جوب
37##76	نجو اهل كرب عظم
37##77	جعل ذرر بقی
37##78	ترك اخر
37##79	سلم علم
37##80	جزی حسن
37##81	عبد امن
37##82	غرق اخر
37##83	شیع
37##84	جیا ربب قلب سلم
37##85	قول ابو قوم عبد
37##86	افك اله دون اله رود
37##87	ظنن ربب علم
37##88	نظر نظر نجم
37##89	قول سقم
37##90	ولی دبر
37##91	روغ اله قول اكل
37##92	نطق
37##93	روغ ضرب یمن
37##94	قبل زفف
37##95	قول عبد نحت
37##96	اله خلق عمل
37##97	قول بنی بنی لقی جحم
37##98	رود كید جعل سفل
37##99	قول ذهب ربب هدی
37##100	ربب وهب صلح
37##101	بشر غلم حلم
37##102	بلغ سعی قول بنی رای نوم ذبح نظر رای قول ابو فعل امر وجد شیا اله صبر
37##103	سلم تلل جبن
37##104	ندو
37##105	صدق رای جزی حسن
37##106	بلو بین
37##107	فدی ذبح عظم
37##108	ترك اخر
37##109	سلم
37##110	جزی حسن
37##111	عبد امن
37##112	بشر نبا صلح
37##113	برك ذرر حسن ظلم نفس بین
37##114	منن
37##115	نجو قوم كرب عظم
37##116	نصر كون غلب
37##117	اتی كتب بین
37##118	هدی صرط قوم
37##119	ترك اخر
37##120	سلم
37##121	جزی حسن
37##122	عبد امن
37##123	رسل
37##124	قول قوم وقی
37##125	دعو بعل وذر حسن خلق
37##126	اله ربب ربب ابو اول
37##127	كذب حضر
37##128	عبد اله خلص
37##129	ترك اخر
37##130	سلم
37##131	جزی حسن
37##132	عبد امن
37##133	رسل
37##134	نجو اهل جمع
37##135	عجز غبر
37##136	دمر اخر
37##137	مرر صبح
37##138	لیل عقل
37##139	رسل
37##140	ابق فلك شحن
37##141	سهم كون دحض
37##142	لقم حوت لوم
37##143	كون سبح
37##144	لبث بطن یوم بعث
37##145	نبذ عری سقم
37##146	نبت شجر
37##147	رسل مای الف زید
37##148	امن متع حین
37##149	فتی ربب بنی بنی
37##150	خلق ملك انث شهد
37##151	افك قول
37##152	ولد اله كذب
37##153	صفو بنی بنی
37##154	كیف حكم
37##155	ذكر
37##156	سلط بین
37##157	اتی كتب كون صدق
37##158	جعل بین بین جنن نسب علم جنن حضر
37##159	سبح اله وصف
37##160	عبد اله خلص
37##161	عبد
37##162	فتن
37##163	صلی جحم
37##164	قوم علم
37##165	صفف
37##166	سبح
37##167	كون قول
37##168	عند ذكر اول
37##169	كون عبد اله خلص
37##170	كفر علم
37##171	سبق كلم عبد رسل
37##172	نصر
37##173	جند غلب
37##174	ولی حین
37##175	بصر بصر
37##176	عذب عجل
37##177	نزل سوح سوا صبح نذر
37##178	ولی حین
37##179	بصر بصر
37##180	سبح ربب ربب عزز وصف
37##181	سلم رسل
37##182	حمد اله ربب علم
38##1	صٓ قرا ذكر
38##2	كفر عزز شقق
38##3	هلك قبل قرن ندو لوت حین نوص
38##4	عجب جیا نذر قول كفر سحر كذب
38##5	جعل اله اله وحد شیا عجب
38##6	طلق ملا مشی صبر اله شیا رود
38##7	سمع ملل اخر خلق
38##8	نزل ذكر بین شكك ذكر ذوق عذب
38##9	عند خزن رحم ربب عزز وهب
38##10	ملك سمو ارض بین رقی سبب
38##11	جند هزم حزب
38##12	كذب قبل قوم عود وتد
38##13	قوم صحب حزب
38##14	كلل كذب رسل حقق عقب
38##15	نظر صیح وحد فوق
38##16	قول ربب عجل قطط قبل یوم حسب
38##17	صبر قول ذكر عبد اید اوب
38##18	سخر جبل سبح عشو شرق
38##19	طیر حشر كلل اوب
38##20	شدد ملك اتی حكم فصل خطب
38##21	اتی نبا خصم سور حرب
38##22	دخل فزع قول خوف خصم بغی بعض بعض حكم بین حقق شطط هدی سوی صرط
38##23	اخو تسع تسع نعج نعج وحد قول كفل عزز خطب
38##24	قول ظلم سال نعج نعج كثر خلط بغی بعض بعض امن عمل صلح قلل ظنن فتن غفر ربب خرر ركع نوب
38##25	غفر عند زلف حسن اوب
38##26	جعل خلف ارض حكم بین نوس حقق تبع هوی ضلل سبل اله ضلل سبل اله عذب شدد نسی یوم حسب
38##27	خلق سمو ارض بین بطل ظنن كفر كفر نور
38##28	جعل امن عمل صلح فسد ارض جعل وقی فجر
38##29	كتب نزل برك دبر ایی ذكر اول لبب
38##30	وهب نعم عبد اوب
38##31	عرض عشو صفن جود
38##32	قول حبب حبب خیر ذكر ربب وری حجب
38##33	ردد طفق مسح سوق عنق
38##34	فتن لقی كرس جسد نوب
38##35	قول ربب غفر وهب ملك بغی احد بعد وهب
38##36	سخر روح جری امر رخو حیث صوب
38##37	شطن كلل بنی غوص
38##38	اخر قرن صفد
38##39	عطو منن مسك غیر حسب
38##40	عند زلف حسن اوب
38##41	ذكر عبد ندو ربب مسس شطن نصب عذب
38##42	ركض رجل غسل برد شرب
38##43	وهب اهل مثل رحم ذكر اول لبب
38##44	اخذ یدی ضغث ضرب حنث وجد صبر نعم عبد اوب
38##45	ذكر عبد اول یدی بصر
38##46	خلص خلص ذكر دور
38##47	عند صفو خیر
38##48	ذكر كفل كلل خیر
38##49	ذكر وقی حسن اوب
38##50	جنن فتح بوب
38##51	وكا دعو فكه كثر شرب
38##52	عند قصر طرف ترب
38##53	وعد یوم حسب
38##54	رزق نفد
38##55	طغی شرر اوب
38##56	صلی باس مهد
38##57	ذوق حمم غسق
38##58	اخر شكل زوج
38##59	فوج قحم رحب صلی نور
38##60	قول رحب قدم باس قرر
38##61	قول ربب قدم زید عذب ضعف نور
38##62	قول رای رجل كون عدد شرر
38##63	اخذ سخر زیغ بصر
38##64	حقق خصم اهل نور
38##65	قول نذر اله اله وحد قهر
38##66	ربب سمو ارض بین عزز غفر
38##67	قول نبا عظم
38##68	عرض
38##69	كون علم ملا علو خصم
38##70	وحی نذر بین
38##71	قول ربب ملك خلق بشر طین
38##72	سوی نفخ روح وقع سجد
38##73	سجد ملك كلل جمع
38##74	كبر كون كفر
38##75	قول منع سجد خلق یدی كبر كون علو
38##76	قول خیر خلق نور خلق طین
38##77	قول خرج رجم
38##78	لعن یوم دین
38##79	قول ربب نظر یوم بعث
38##80	قول نظر
38##81	یوم وقت علم
38##82	قول عزز غوی جمع
38##83	عبد خلص
38##84	قول حقق حقق قول
38##85	ملا تبع جمع
38##86	قول سال اجر كلف
38##87	ذكر علم
38##88	علم نبا بعد حین
39##1	نزل كتب اله عزز حكم
39##2	نزل كتب حقق عبد اله خلص دین
39##3	اله دین خلص اخذ دون ولی عبد قرب اله زلف اله حكم بین خلف اله هدی كذب كفر
39##4	رود اله اخذ ولد صفو خلق شیا سبح اله وحد قهر
39##5	خلق سمو ارض حقق كور لیل نهر كور نهر لیل سخر شمس قمر كلل جری اجل سمو عزز غفر
39##6	خلق نفس وحد جعل زوج نزل نعم ثمن زوج خلق بطن امم خلق بعد خلق ظلم ثلث اله ربب ملك اله انی صرف
39##7	كفر اله غنی رضو عبد كفر شكر رضو وزر وزر وزر اخر ربب رجع نبا كون عمل علم صدر
39##8	مسس انس ضرر دعو ربب نوب خول نعم نسی كون دعو قبل جعل اله ندد ضلل سبل قول متع كفر قلل صحب نور
39##9	قنت انی لیل سجد قوم حذر اخر رجو رحم ربب قول سوی علم علم ذكر اول لبب
39##10	قول عبد امن وقی ربب حسن دنو حسن ارض اله وسع وفی صبر اجر غیر حسب
39##11	قول امر عبد اله خلص دین
39##12	امر كون اول سلم
39##13	قول خوف عصی ربب عذب یوم عظم
39##14	قول اله عبد خلص دین
39##15	عبد شیا دون قول خسر خسر نفس اهل یوم قوم خسر بین
39##16	فوق ظلل نور تحت ظلل خوف اله عبد عبد وقی
39##17	جنب طغی عبد نوب اله بشر بشر عبد
39##18	سمع قول تبع حسن هدی اله اول لبب
39##19	حقق كلم عذب نقذ نور
39##20	وقی ربب غرف فوق غرف بنی جری تحت نهر وعد اله خلف اله وعد
39##21	رای اله نزل سمو موه سلك نبع ارض خرج زرع خلف لون هیج رای صفر جعل حطم ذكر اول لبب
39##22	شرح اله صدر سلم نور ربب قسو قلب ذكر اله ضلل بین
39##23	اله نزل حسن حدث كتب شبه ثنی قشعر جلد خشی ربب لین جلد قلب ذكر اله هدی اله هدی شیا ضلل اله هدی
39##24	وقی وجه سوا عذب یوم قوم قول ظلم ذوق كون كسب
39##25	كذب قبل اتی عذب حیث شعر
39##26	ذوق اله خزی حیی دنو عذب اخر كبر كون علم
39##27	ضرب نوس قرا كلل مثل ذكر
39##28	قرا عرب غیر عوج وقی
39##29	ضرب اله مثل رجل شرك شكس رجل سلم رجل سوی مثل حمد اله كثر علم
39##30	موت موت
39##31	یوم قوم عند ربب خصم
39##32	ظلم كذب اله كذب صدق جیا لیس ثوی كفر
39##33	جیا صدق صدق وقی
39##34	شیا عند ربب جزی حسن
39##35	كفر اله سوا عمل جزی اجر حسن كون عمل
39##36	لیس اله كفی عبد خوف دون ضلل اله هدی
39##37	هدی اله ضلل لیس اله عزز نقم
39##38	سال خلق سمو ارض قول اله قول رای دعو دون اله رود اله ضرر كشف ضرر رود رحم مسك رحم قول حسب اله وكل وكل
39##39	قول قوم عمل كون عمل علم
39##40	اتی عذب خزی حلل عذب قوم
39##41	نزل كتب نوس حقق هدی نفس ضلل ضلل وكل
39##42	اله وفی نفس حین موت موت نوم مسك قضی موت رسل اخر اجل سمو ایی قوم فكر
39##43	اخذ دون اله شفع قول كون ملك شیا عقل
39##44	قول اله شفع جمع ملك سمو ارض رجع
39##45	ذكر اله وحد شمز قلب امن اخر ذكر دون بشر
39##46	قول اله فطر سمو ارض علم غیب شهد حكم بین عبد كون خلف
39##47	ظلم ارض جمع مثل فدی سوا عذب یوم قوم بدو اله كون حسب
39##48	بدو سوا كسب حیق كون هزا
39##49	مسس انس ضرر دعو خول نعم قول اتی علم فتن كثر علم
39##50	قول قبل غنی كون كسب
39##51	صوب سوا كسب ظلم صوب سوا كسب عجز
39##52	علم اله بسط رزق شیا قدر ایی قوم امن
39##53	قول عبد سرف نفس قنط رحم اله اله غفر ذنب جمع غفر رحم
39##54	نوب ربب سلم قبل اتی عذب نصر
39##55	تبع حسن نزل ربب قبل اتی عذب بغت شعر
39##56	قول نفس حسر فرط جنب اله كون سخر
39##57	قول اله هدی كون وقی
39##58	قول حین رای عذب كرر كون حسن
39##59	جیا ایی كذب كبر كون كفر
39##60	یوم قوم رای كذب اله وجه سود لیس ثوی كبر
39##61	نجو اله وقی فوز مسس سوا حزن
39##62	اله خلق كلل شیا كلل شیا وكل
39##63	قلد سمو ارض كفر ایی اله خسر
39##64	قول غیر اله امر عبد جهل
39##65	وحی قبل شرك حبط عمل كون خسر
39##66	اله عبد كون شكر
39##67	قدر اله حقق قدر ارض جمع قبض یوم قوم سمو طوی یمن سبح علو شرك
39##68	نفخ صور صعق سمو ارض شیا اله نفخ اخر قوم نظر
39##69	شرق ارض نور ربب وضع كتب جیا نبا شهد قضی بین حقق ظلم
39##70	وفی كلل نفس عمل علم فعل
39##71	سوق كفر زمر جیا فتح بوب قول خزن اتی رسل تلو ایی ربب نذر لقی یوم قول حقق كلم عذب كفر
39##72	قول دخل بوب خلد باس ثوی كبر
39##73	سوق وقی ربب جنن زمر جیا فتح بوب قول خزن سلم طیب دخل خلد
39##74	قول حمد اله صدق وعد ورث ارض بوا جنن حیث شیا نعم اجر عمل
39##75	رای ملك حفف حول عرش سبح حمد ربب قضی بین حقق قول حمد اله ربب علم
40##1	حمٓ
40##2	نزل كتب اله عزز علم
40##3	غفر ذنب قبل توب شدد عقب طول اله صیر
40##4	جدل ایی اله كفر غرر قلب بلد
40##5	كذب قبل قوم حزب بعد همم كلل امم رسل اخذ جدل بطل دحض حقق اخذ كیف كون عقب
40##6	حقق كلم ربب كفر صحب نور
40##7	حمل عرش حول سبح حمد ربب امن غفر امن ربب وسع كلل شیا رحم علم غفر توب تبع سبل وقی عذب جحم
40##8	ربب دخل جنن وعد صلح ابو زوج ذرر عزز حكم
40##9	وقی سوا وقی سوا رحم فوز عظم
40##10	كفر ندو مقت اله كبر مقت نفس دعو امن كفر
40##11	قول ربب موت ثنی حیی ثنی عرف ذنب خرج سبل
40##12	دعو اله وحد كفر شرك امن حكم اله علو كبر
40##13	رای ایی نزل سمو رزق ذكر نوب
40##14	دعو اله خلص دین كره كفر
40##15	رفع درج عرش لقی روح امر شیا عبد نذر یوم لقی
40##16	یوم برز خفی اله شیا ملك یوم اله وحد قهر
40##17	یوم جزی كلل نفس كسب ظلم یوم اله سرع حسب
40##18	نذر یوم ازف قلب حنجر كظم ظلم حمم شفع طوع
40##19	علم خون عین خفی صدر
40##20	اله قضی حقق دعو دون قضی شیا اله سمع بصر
40##21	سیر ارض نظر كیف كون عقب كون قبل كون شدد قوی اثر ارض اخذ اله ذنب كون اله وقی
40##22	كون اتی رسل بین كفر اخذ اله قوی شدد عقب
40##23	رسل ایی سلط بین
40##24	قول سحر كذب
40##25	جیا حقق عند قول قتل بنی امن حیی نسو كید كفر ضلل
40##26	قول وذر قتل دعو ربب خوف بدل دین ظهر ارض فسد
40##27	قول عوذ ربب ربب كلل كبر امن یوم حسب
40##28	قول رجل امن اول كتم امن قتل رجل قول ربب اله جیا بین ربب كون كذب كذب كون صدق صوب بعض وعد اله هدی سرف كذب
40##29	قوم ملك یوم ظهر ارض نصر باس اله جیا قول رای رای هدی سبل رشد
40##30	قول امن قوم خوف مثل یوم حزب
40##31	مثل داب قوم عود بعد اله رود ظلم عبد
40##32	قوم خوف یوم ندو
40##33	یوم ولی دبر اله عصم ضلل اله هدی
40##34	جیا قبل بین زیل شكك جیا هلك قول بعث اله بعد رسل ضلل اله سرف ریب
40##35	جدل ایی اله غیر سلط اتی كبر مقت عند اله عند امن طبع اله كلل قلب كبر جبر
40##36	قول بنی صرح بلغ سبب
40##37	سبب سمو طلع اله ظنن كذب زین سوا عمل صدد سبل كید تبب
40##38	قول امن قوم تبع هدی سبل رشد
40##39	قوم حیی دنو متع اخر دور قرر
40##40	عمل سوا جزی مثل عمل صلح ذكر انث امن دخل جنن رزق غیر حسب
40##41	قوم دعو نجو دعو نور
40##42	دعو كفر اله شرك لیس علم دعو عزز غفر
40##43	جرم دعو لیس دعو دنو اخر ردد اله سرف صحب نور
40##44	ذكر قول فوض امر اله اله بصر عبد
40##45	وقی اله سوا مكر حیق اول سوا عذب
40##46	نور عرض غدو عشو یوم قوم سوع دخل اول شدد عذب
40##47	حجج نور قول ضعف كبر كون تبع غنی نصب نور
40##48	قول كبر كلل اله حكم بین عبد
40##49	قول نور خزن دعو ربب خفف یوم عذب
40##50	قول كون اتی رسل بین قول قول دعو دعو كفر ضلل
40##51	نصر رسل امن حیی دنو یوم قوم شهد
40##52	یوم نفع ظلم عذر لعن سوا دور
40##53	اتی هدی ورث بنی كتب
40##54	هدی ذكر اول لبب
40##55	صبر وعد اله حقق غفر ذنب سبح حمد ربب عشو بكر
40##56	جدل ایی اله غیر سلط اتی صدر كبر بلغ عوذ اله سمع بصر
40##57	خلق سمو ارض كبر خلق نوس كثر نوس علم
40##58	سوی عمی بصر امن عمل صلح سوا قلل ذكر
40##59	سوع اتی ریب كثر نوس امن
40##60	قول ربب دعو جوب كبر عبد دخل دخر
40##61	اله جعل لیل سكن نهر بصر اله فضل نوس كثر نوس شكر
40##62	اله ربب خلق كلل شیا اله انی افك
40##63	افك كون ایی اله جحد
40##64	اله جعل ارض قرر سمو بنی صور حسن صور رزق طیب اله ربب برك اله ربب علم
40##65	حیی اله دعو خلص دین حمد اله ربب علم
40##66	قول نهی عبد دعو دون اله جیا بین ربب امر سلم ربب علم
40##67	خلق ترب نطف علق خرج طفل بلغ شدد كون شیخ وفی قبل بلغ اجل سمو عقل
40##68	حیی موت قضی امر قول كون كون
40##69	رای جدل ایی اله انی صرف
40##70	كذب كتب رسل رسل علم
40##71	غلل عنق سلسل سحب
40##72	حمم نور سجر
40##73	قول كون شرك
40##74	دون اله قول ضلل كون دعو قبل شیا ضلل اله كفر
40##75	كون فرح ارض غیر حقق كون مرح
40##76	دخل بوب خلد باس ثوی كبر
40##77	صبر وعد اله حقق رای بعض وعد وفی رجع
40##78	رسل رسل قبل قصص قصص كون رسل اتی ایی اذن اله جیا امر اله قضی حقق خسر بطل
40##79	اله جعل نعم ركب اكل
40##80	نفع بلغ حوج صدر فلك حمل
40##81	رای ایی ایی اله نكر
40##82	سیر ارض نظر كیف كون عقب قبل كون كثر شدد قوی اثر ارض غنی كون كسب
40##83	جیا رسل بین فرح عند علم حیق كون هزا
40##84	رای باس قول امن اله وحد كفر كون شرك
40##85	كون نفع امن رای باس سنن اله خلو عبد خسر كفر
41##1	حمٓ
41##2	نزل رحم رحم
41##3	كتب فصل ایی قرا عرب قوم علم
41##4	بشر نذر عرض كثر سمع
41##5	قول قلب كنن دعو اذن وقر بین بین حجب عمل عمل
41##6	قول بشر مثل وحی اله اله وحد قوم غفر شرك
41##7	اتی زكو اخر كفر
41##8	امن عمل صلح اجر غیر منن
41##9	قول كفر خلق ارض یوم جعل ندد ربب علم
41##10	جعل رسو فوق برك قدر قوت ربع یوم سوی سال
41##11	سوی سمو دخن قول ارض اتی طوع كره قول اتی طوع
41##12	قضی سبع سمو یوم وحی كلل سمو امر زین سمو دنو صبح حفظ قدر عزز علم
41##13	عرض قول نذر صعق مثل صعق عود
41##14	جیا رسل بین یدی خلف عبد اله قول شیا ربب نزل ملك رسل كفر
41##15	عود كبر ارض غیر حقق قول شدد قوی رای اله خلق شدد قوی كون ایی جحد
41##16	رسل روح صرصر یوم نحس ذوق عذب خزی حیی دنو عذب اخر خزی نصر
41##17	هدی حبب عمی هدی اخذ صعق عذب هون كون كسب
41##18	نجو امن كون وقی
41##19	یوم حشر عدو اله نور وزع
41##20	جیا شهد سمع بصر جلد كون عمل
41##21	قول جلد شهد قول نطق اله نطق كلل شیا خلق اول مرر رجع
41##22	كون ستر شهد سمع بصر جلد ظنن اله علم كثر عمل
41##23	ظنن ظنن ربب ردی صبح خسر
41##24	صبر نور ثوی عتب عتب
41##25	قیض قرن زین بین یدی خلف حقق قول امم خلو قبل جنن انس كون خسر
41##26	قول كفر سمع قرا لغو غلب
41##27	ذوق كفر عذب شدد جزی سوا كون عمل
41##28	جزی عدو اله نور دور خلد جزی كون ایی جحد
41##29	قول كفر ربب رای ضلل جنن انس جعل تحت قدم كون سفل
41##30	قول ربب اله قوم نزل ملك خوف حزن بشر جنن كون وعد
41##31	ولی حیی دنو اخر شهو نفس دعو
41##32	نزل غفر رحم
41##33	حسن قول دعو اله عمل صلح قول سلم
41##34	سوی حسن سوا دفع حسن بین بین عدو ولی حمم
41##35	لقی صبر لقی حظظ عظم
41##36	نزغ شطن نزغ عوذ اله سمع علم
41##37	ایی لیل نهر شمس قمر سجد شمس قمر سجد اله خلق كون عبد
41##38	كبر عند ربب سبح لیل نهر سام
41##39	ایی رای ارض خشع نزل موه هزز ربو حیی حیی موت كلل شیا قدر
41##40	لحد ایی خفی لقی نور خیر اتی امن یوم قوم عمل شیا عمل بصر
41##41	كفر ذكر جیا كتب عزز
41##42	اتی بطل بین یدی خلف نزل حكم حمد
41##43	قول قول رسل قبل ربب غفر عقب الم
41##44	جعل قرا عجم قول فصل ایی عجم عرب قول امن هدی شفی امن اذن وقر عمی ندو كون بعد
41##45	اتی كتب خلف كلم سبق ربب قضی بین شكك ریب
41##46	عمل صلح نفس سوا ربب ظلم عبد
41##47	ردد علم سوع خرج ثمر كمم حمل انث وضع علم یوم ندو شرك قول اذن شهد
41##48	ضلل كون دعو قبل ظنن حیص
41##49	سام انس دعو خیر مسس شرر یاس قنط
41##50	ذوق رحم بعد ضرر مسس قول ظنن سوع قوم رجع ربب عند حسن نبا كفر عمل ذوق عذب غلظ
41##51	نعم انس عرض نای جنب مسس شرر دعو عرض
41##52	قول رای كون عند اله كفر ضلل شقق بعد
41##53	رای ایی افق نفس بین حقق كفی ربب كلل شیا شهد
41##54	مری لقی ربب كلل شیا حوط
42##1	حمٓ
42##2	عٓسٓقٓ
42##3	وحی قبل اله عزز حكم
42##4	سمو ارض علو عظم
42##5	كود سمو فطر فوق ملك سبح حمد ربب غفر ارض اله غفر رحم
42##6	اخذ دون ولی اله حفظ وكل
42##7	وحی قرا عرب نذر امم قری حول نذر یوم جمع ریب فرق جنن فرق سعر
42##8	شیا اله جعل امم وحد دخل شیا رحم ظلم ولی نصر
42##9	اخذ دون ولی اله ولی حیی موت كلل شیا قدر
42##10	خلف شیا حكم اله اله ربب وكل نوب
42##11	فطر سمو ارض جعل نفس زوج نعم زوج ذرا لیس مثل شیا سمع بصر
42##12	قلد سمو ارض بسط رزق شیا قدر كلل شیا علم
42##13	شرع دین وصی وحی وصی قوم دین فرق كبر شرك دعو اله جبی شیا هدی نوب
42##14	فرق بعد جیا علم بغی بین كلم سبق ربب اجل سمو قضی بین ورث كتب بعد شكك ریب
42##15	دعو قوم امر تبع هوی قول امن نزل اله كتب امر عدل بین اله ربب ربب عمل عمل حجج بین بین اله جمع بین صیر
42##16	حجج اله بعد جوب حجج دحض عند ربب غضب عذب شدد
42##17	اله نزل كتب حقق وزن دری سوع قرب
42##18	عجل امن امن شفق علم حقق مری سوع ضلل بعد
42##19	اله لطف عبد رزق شیا قوی عزز
42##20	كون رود حرث اخر زید حرث كون رود حرث دنو اتی اخر نصب
42##21	شرك شرع دین اذن اله كلم فصل قضی بین ظلم عذب الم
42##22	رای ظلم شفق كسب وقع امن عمل صلح روض جنن شیا عند ربب فضل كبر
42##23	بشر اله عبد امن عمل صلح قول سال اجر ودد قرب قرف حسن زید حسن اله غفر شكر
42##24	قول فری اله كذب شیا اله ختم قلب محو اله بطل حقق حقق كلم علم صدر
42##25	قبل توب عبد عفو سوا علم فعل
42##26	جوب امن عمل صلح زید فضل كفر عذب شدد
