1##1	ٱسْم ٱللَّه رَّحْمَٰن رَّحِیم
32##17	لَا عَلِمَ نَفْس مَا أُخْفِيَ مِن قُرَّة عَیْن جَزَآء مَا كَانَ عَمِلَ
32##18	مَن كَانَ مُؤْمِن مَن كَانَ فَاسِق لَا ٱسْتَوَيٰٓ
32##19	أَمَّا ٱلَّذِي ءَامَنَ عَمِلَ صَّٰلِحَٰت جَنَّة مَأْوَيٰ نُزُل مَا كَانَ عَمِلَ
32##20	أَمَّا ٱلَّذِي فَسَقَ مَأْوَيٰ نَار كُلَّمَا أَرَادَ أَن خَرَجَ مِن أُعِیدُ فِي قَالَ ذَاقُ عَذَاب نَار ٱلَّذِي كَانَ كَذَّبَ
32##21	أَذَاقَ مِن عَذَاب أَدْنَيٰ دُون عَذَاب أَكْبَر لَعَلّ رَجَعَ
32##22	مَن أَظْلَم مِن مَن ذُكِّرَ ءَایَة رَبّ ثُمّ أَعْرَضَ عَن إِنّ مِن مُجْرِم مُنتَقِمُون
32##23	قَد آتَي مُوسَيٰ كِتَٰب لَا كَانَ فِي مِرْیَة مِن لِقَآء جَعَلَ هُدًي بُنَيّ إِسْرَائِیل
32##24	جَعَلَ مِن إِمَام هَدَي أَمْر لَمَّا صَبَرَ كَانَ ءَایَة یُوقِنُ
32##25	إِنّ رَبّ فَصَلَ بَیْن یَوْم قِیَٰمَة فِي مَا كَانَ فِي ٱخْتَلَفَ
32##26	لَم هَدَي كَم أَهْلَكَ مِن قَبْل مِن قَرْن مَّشَ فِي مَسْكَن إِنّ فِي ذَٰلِك ءَایَة لَا سَمِعَ
32##27	لَم رَءَا أَنّ سِیقَ مَآء إِلَيٰ أَرْض جُرُز أَخْرَجَ زَرْع أَكَلَ مِن نَّعَم نَفْس لَا أَبْصَرَ
32##28	قَالَ مَتَيٰ هَٰذَا فَتْح إِن كَانَ صَادِق
32##29	قَالَ یَوْم فَتْح لَا نَفَعَ ٱلَّذِي كَفَرَ إِیمَٰن لَا یُنظَرُ
32##30	أَعْرَضَ عَن یَنتَظِرُ إِنّ مُنتَظِرُون
33##1	أَیُّهَا نَّبِيّ ٱتَّقَيٰ ٱللَّه لَا أَطَاعَ كَٰفِرُون مُنَٰفِقُون إِنّ ٱللَّه كَانَ عَلِیم حَكِیم
33##2	ٱتَّبَعَ مَا أَوْحَيٰٓ إِلَيٰ مِن رَبّ إِنّ ٱللَّه كَانَ مَا عَمِلَ خَبِیر
33##3	تَوَكَّلْ عَلَيٰ ٱللَّه كَفَيٰ ٱللَّه وَكِیل
33##4	مَا جَعَلَ ٱللَّه رَجُل مِن قَلْب فِي جَوْف مَا جَعَلَ زَوْج ٱلَِّٰٓي ظَٰهَرُ مِن أُمّ مَا جَعَلَ دُعَآء ٱبْن ذَٰلِك قَوْل أَفْوَٰه ٱللَّه قَالَ حَقّ هَدَي سَبِیل
33##5	دَعَا آبَاء أَقْسَط عِند ٱللَّه إِن لَم عَلِمَ آبَاء أَخ فِي دِین مَوَٰلِی لَّیْسَ عَلَيٰ جُنَاح فِي مَا أَخْطَأْ لَٰكِن مَا تَعَمَّدَتْ قَلْب كَانَ ٱللَّه غَفُور رَّحِیم
33##6	نَّبِيّ أَوْلَيٰ مُؤْمِن مِن نَفْس زَوْج أُمّ أُولِي أَرْحَام بَعْض أَوْلَيٰ بَعْض فِي كِتَٰب ٱللَّه مِن مُؤْمِن مُهَاجِر إِلَّا أَن فَعَلَ إِلَيٰ وَلِيّ مَّعْرُوف كَانَ ذَٰلِك فِي كِتَٰب مَسْطُور
33##7	إِذ أَخَذَ مِن نَّبِيّ مِّیثَٰق مِن مِن نُوح إِبْرَاهِیم مُوسَيٰ عِیسَي ٱبْن مَرْیَم أَخَذَ مِن مِّیثَٰق غَلِیظ
33##8	سَأَلَ صَادِق عَن صِدْق أَعَدَّ كَٰفِرُون عَذَاب أَلِیم
33##9	أَیُّهَا ٱلَّذِي ءَامَنَ ذَكَرَ نِعْمَة ٱللَّه عَلَيٰ إِذ جَآءَ جُند أَرْسَلَ عَلَيٰ رِیح جُند لَم رَءَا كَانَ ٱللَّه مَا عَمِلَ بَصِیر
33##10	إِذ جَآءَ مِن فَوْق مِن أَسْفَل مِن إِذ زَاغَ بَصَر بَلَغَ قَلْب حَنَاجِر ظَنَّ ٱللَّه ظَنّ
33##11	هُنَالِك ٱبْتَلَيٰٓ مُؤْمِن زُلْزِلُ زِلْزَال شَدِید
33##12	إِذ قَالَ مُنَٰفِقُون ٱلَّذِي فِي قَلْب مَّرَض مَا وَعَدَ ٱللَّه رَسُول إِلَّا غُرُور
33##13	إِذ قَالَ طَآئِفَة مِن أَهْل یَثْرِب لَا مُقَام رَجَعَ ٱسْتَْذَنَ فَرِیق مِن نَّبِيّ قَالَ إِنّ بَیْت عَوْرَة مَا عَوْرَة إِن أَرَادَ إِلَّا فِرَار
33##14	لَو دَخَلَ عَلَيٰ مِن أَقْطَار ثُمّ سَأَلَ فِتْنَة آتَي مَا لَبِثَ إِلَّا یَسِیر
33##15	قَد كَانَ عَٰهَدَ ٱللَّه مِن قَبْل لَا وَلَّيٰ دُبُر كَانَ عَهْد ٱللَّه مَسُْول
33##16	قَالَ لَن نَفَعَ فِرَار إِن فَرَّتْ مِن مَوْت أَو قَتْل إِذًا لَا مَّتَّعْ إِلَّا قَلِیل
33##17	قَالَ مَن ذَا ٱلَّذِي یَعْصِمُ مِن ٱللَّه إِن أَرَادَ سُوٓء أَو أَرَادَ رَحْمَة لَا وَجَدَ مِن دُون ٱللَّه وَلِيّ لَا نَصِیر
33##18	قَد عَلِمَ ٱللَّه مُعَوِّقِین مِن قَآئِل أَخ لُمَّ إِلَيٰ لَا أَتَي بَأْس إِلَّا قَلِیل
33##19	شُحّ عَلَيٰ إِذَا جَآءَ خَوْف رَءَا نَّظَرَ إِلَيٰ تَدُورُ عَیْن ٱلَّذِي غَشِیَ عَلَيٰ مِن مَوْت إِذَا ذَهَبَ خَوْف سَلَقُ لِسَان حِدَاد شُحّ عَلَيٰ خَیْر أُولَٰٓئِك لَم ءَامَنَ أَحْبَطَ ٱللَّه عَمَل كَانَ ذَٰلِك عَلَيٰ ٱللَّه یَسِیر
33##20	حَسِبَ حِزْب لَم ذَهَبَ إِن أَتَي حِزْب وَدَّ لَو أَنّ بَادُون فِي أَعْرَاب سَأَلَ عَن نَبَأ لَو كَانَ فِي مَا قَٰتَلَ إِلَّا قَلِیل
33##21	قَد كَانَ فِي رَسُول ٱللَّه أُسْوَة حَسَنَة مَن كَانَ یَرْجُوا ٱللَّه یَوْم آخِر ذَكَرَ ٱللَّه كَثِیر
33##22	لَمَّا رَءَا مُؤْمِن حِزْب قَالَ هَٰذَا مَا وَعَدَ ٱللَّه رَسُول صَدَقَ ٱللَّه رَسُول مَا زَادَ إِلَّا إِیمَٰن تَسْلِیم
33##23	مِن مُؤْمِن رِجَال صَدَقَ مَا عَٰهَدَ ٱللَّه عَلَيٰ مِن مَن قَضَيٰٓ نَحْب مِن مَن یَنتَظِرُ مَا بَدَّلَ تَبْدِیل
33##24	جَزَيٰ ٱللَّه صَادِق صِدْق عَذَّبَ مُنَٰفِقُون إِن شَآءَ أَو تَابَ عَلَيٰ إِنّ ٱللَّه كَانَ غَفُور رَّحِیم
33##25	رَدَّ ٱللَّه ٱلَّذِي كَفَرَ غَیْظ لَم یَنَالُ خَیْر كَفَيٰ ٱللَّه مُؤْمِن قِتَال كَانَ ٱللَّه قَوِيّ عَزِیز
33##26	أَنزَلَ ٱلَّذِي ظَٰهَرُ مِن أَهْل كِتَٰب مِن صَیَاصِی قَذَفَ فِي قَلْب رُعْب فَرِیق قَتَلَ تَأْسِرُ فَرِیق
33##27	أَوْرَثَ أَرْض دَار مَال أَرْض لَم یَطَُ كَانَ ٱللَّه عَلَيٰ كُلّ شَيْء قَدِیر
33##28	أَیُّهَا نَّبِيّ قَالَ زَوْج إِن كَانَ أَرَادَ حَیَوٰة دُّنْیَا زِینَة تَعَالَ مَّتَّعْ سَرِّحُ سَرَاح جَمِیل
33##29	إِن كَانَ أَرَادَ ٱللَّه رَسُول دَار آخِر إِنّ ٱللَّه أَعَدَّ مُحْسِنَٰت مِن أَجْر عَظِیم
33##30	نِسَآء نَّبِيّ مَن أَتَي مِن فَٰحِشَة مُّبَیِّنَة یُضَٰعِفُ عَذَاب ضِعْف كَانَ ذَٰلِك عَلَيٰ ٱللَّه یَسِیر
33##31	مَن یَقْنُتْ مِن ٱللَّه رَسُول عَمِلَ صَٰلِح آتَي أَجْر مَرَّة أَعْتَدَتْ رِزْق كَرِیم
33##32	نِسَآء نَّبِيّ لَّیْسَ أَحَد مِن نِسَآء إِن ٱتَّقَيٰ لَا تَخْضَعْ قَوْل یَطْمَعُ ٱلَّذِي فِي قَلْب مَّرَض قَالَ قَوْل مَّعْرُوف
33##33	تَقَرَّ فِي بَیْت لَا تَبَرَّجْ تَبَرُّج جَٰهِلِیَّة أَوَّل أَقَامَ صَلَوٰة آتَي زَكَوٰة أَطَاعَ ٱللَّه رَسُول إِنّ مَا أَرَادَ ٱللَّه أَذْهَبَ عَن رِجْس أَهْل بَیْت طَهَّرَ تَطْهِیر
33##34	ذَكَرَ مَا تَلَيٰ فِي بَیْت مِن ءَایَة ٱللَّه حِكْمَة إِنّ ٱللَّه كَانَ لَطِیف خَبِیر
33##35	إِنّ مُسْلِم مُسْلِمَٰت مُؤْمِن مُّؤْمِنَٰت قَانِت قَٰنِتَٰت صَادِق صَّٰدِقَٰت صَابِر صَّٰبِرَٰت خَاشِع خَاشِع مُتَصَدِّقِین مُتَصَدِّقَٰت صَّٰٓئِمِین صَّٰٓئِمَٰت حَٰفِظ فَرْج حَٰفِظَٰت ذَّٰكِرِین ٱللَّه كَثِیر ذَّٰكِرَٰت أَعَدَّ ٱللَّه مَّغْفِرَة أَجْر عَظِیم
33##36	مَا كَانَ مُؤْمِن لَا مُّؤْمِنَة إِذَا قَضَيٰٓ ٱللَّه رَسُول أَمْر أَن كَانَ خِیَرَة مِن أَمْر مَن عَصَا ٱللَّه رَسُول قَد ضَلَّ ضَلَٰل مُّبِین
33##37	إِذ قَالَ ٱلَّذِي أَنْعَمَ ٱللَّه عَلَيٰ أَنْعَمَ عَلَيٰ أَمْسَكَ عَلَيٰ زَوْج ٱتَّقَيٰ ٱللَّه أُخْفِيَ فِي نَفْس مَا ٱللَّه مُبْدِی خَشِيَ نَّاس ٱللَّه أَحَقّ أَن خَشِيَ لَمَّا قَضَيٰٓ زَیْد مِن وَطَر زُوِّجَتْ كَي لَا كَانَ عَلَيٰ مُؤْمِن حَرَج فِي زَوْج دُعَآء إِذَا قَضَيٰٓ مِن وَطَر كَانَ أَمْر ٱللَّه مَفْعُول
33##38	مَا كَانَ عَلَيٰ نَّبِيّ مِن حَرَج فِي مَا فَرَضَ ٱللَّه سُنَّة ٱللَّه فِي ٱلَّذِي خَلَا مِن قَبْل كَانَ أَمْر ٱللَّه قَدَر مَّقْدُور
33##39	ٱلَّذِي بَلَّغْ رِسَٰلَٰت ٱللَّه خَشِيَ لَا خَشِيَ أَحَد إِلَّا ٱللَّه كَفَيٰ ٱللَّه حَسِیب
33##40	مَا كَانَ مُحَمَّد أَبٌ أَحَد مِن رِجَال لَٰكِن رَسُول ٱللَّه خَاتَم نَّبِيّ كَانَ ٱللَّه كُلّ شَيْء عَلِیم
33##41	أَیُّهَا ٱلَّذِي ءَامَنَ ذَكَرَ ٱللَّه ذِكْر كَثِیر
33##42	سَبَّحَ بُكْرَة أَصِیل
33##43	ٱلَّذِي صَلَّيٰ عَلَيٰ مَلَك أَخْرَجَ مِن ظُلُمَٰت إِلَيٰ نُور كَانَ مُؤْمِن رَّحِیم
33##44	تَحِیَّة یَوْم لَقُ سَلَٰم أَعَدَّ أَجْر كَرِیم
33##45	أَیُّهَا نَّبِيّ إِنّ أَرْسَلَ شَاهِد مُبَشِّر نَذِیر
33##46	دَاعِي إِلَيٰ ٱللَّه إِذْن سِرَاج مُّنِیر
33##47	بُشِّرَ مُؤْمِن أَنّ مِن ٱللَّه فَضْل كَبِیر
33##48	لَا أَطَاعَ كَٰفِرُون مُنَٰفِقُون دَعْ أَذًي تَوَكَّلْ عَلَيٰ ٱللَّه كَفَيٰ ٱللَّه وَكِیل
33##49	أَیُّهَا ٱلَّذِي ءَامَنَ إِذَا نَكَحَ مُّؤْمِنَٰت ثُمّ طَلَّقَ مِن قَبْل أَن مَسَّ مَا عَلَيٰ مِن عِدَّة تَعْتَدُّ مَّتَّعْ سَرِّحُ سَرَاح جَمِیل
33##50	أَیُّهَا نَّبِيّ إِنّ أَحَلَّ زَوْج ٱلَّذِي آتَي أَجْر مَا مَلَكَتْ یَمِین مِن مَا أَفَآءَ ٱللَّه عَلَيٰ بَنَات عَمّ بَنَات عَمَّٰت بَنَات خَال بَنَات خَٰلَٰت ٱلَّذِي هَاجَرَ مَع ٱمْرَأَت مُّؤْمِنَة إِن وَهَبَ نَفْس نَّبِيّ إِن أَرَادَ نَّبِيّ أَن یَسْتَنكِحَ خَالِصَة مِن دُون مُؤْمِن قَد عَلِمَ مَا فَرَضَ عَلَيٰ فِي زَوْج مَا مَلَكَتْ یَمِین كَي كَانَ عَلَيٰ حَرَج كَانَ ٱللَّه غَفُور رَّحِیم
33##51	تُرْجِي مَن شَآءَ مِن ءَاوَيٰٓ إِلَيٰ مَن شَآءَ مَن ٱبْتَغَيٰ مِن مَن عَزَلْ لَا جُنَاح عَلَيٰ ذَٰلِك أَدْنَيٰ أَن تَقَرَّ عَیْن لَا یَحْزُن رَّضِيَ مَا آتَي كُلّ ٱللَّه عَلِمَ مَا فِي قَلْب كَانَ ٱللَّه عَلِیم حَلِیم
33##52	لَا حَلَلْ نِسَآء مِن بَعْد لَا أَن یَتَبَدَّلِ مِن زَوْج لَو أَعْجَبَ حُسْن إِلَّا مَا مَلَكَتْ یَمِین كَانَ ٱللَّه عَلَيٰ كُلّ شَيْء رَقِیب
33##53	أَیُّهَا ٱلَّذِي ءَامَنَ لَا دَخَلَ بَیْت نَّبِيّ إِلَّا أَن أَذِنَ إِلَيٰ طَعَام غَیْر نَٰظِرِین إِنَيٰ لَٰكِن إِذَا دَعَا دَخَلَ إِذَا طَعِمُ تَنتَشِرُ لَا مُسْتَْنِسِین حَدِیث إِنّ ذَٰلِك كَانَ أُوذِيَ نَّبِيّ یَسْتَحْيِۦٓ مِن ٱللَّه لَا یَسْتَحْيِۦٓ مِن حَقّ إِذَا سَأَلَ مَتَٰع سَأَلَ مِن وَرَآء حِجَاب ذَٰلِك أَطْهَر قَلْب قَلْب مَا كَانَ أَن أُوذِيَ رَسُول ٱللَّه لَا أَن نَكَحَ زَوْج مِن بَعْد أَبَدًا إِنّ ذَٰلِك كَانَ عِند ٱللَّه عَظِیم
33##54	إِن یُبْدِيَ شَيْء أَو أُخْفِيَ إِنّ ٱللَّه كَانَ كُلّ شَيْء عَلِیم
33##55	لَا جُنَاح عَلَيٰ فِي آبَاء لَا ٱبْن لَا أَخ لَا ٱبْن أَخ لَا ٱبْن أُخْت لَا نِسَآء لَا مَا مَلَكَتْ یَمِین ٱتَّقَيٰ ٱللَّه إِنّ ٱللَّه كَانَ عَلَيٰ كُلّ شَيْء شَهِید
33##56	إِنّ ٱللَّه مَلَك صَلَّيٰ عَلَيٰ نَّبِيّ أَیُّهَا ٱلَّذِي ءَامَنَ صَلَّيٰ عَلَيٰ سَلَّمَ تَسْلِیم
33##57	إِنّ ٱلَّذِي أُوذِيَ ٱللَّه رَسُول لَعَنَ ٱللَّه فِي دُّنْیَا آخِر أَعَدَّ عَذَاب مُّهِین
33##58	ٱلَّذِي أُوذِيَ مُؤْمِن مُّؤْمِنَٰت غَیْر مَا ٱكْتَسَبَ قَد ٱحْتَمَلَ بُهْتَٰن إِثْم مُّبِین
33##59	أَیُّهَا نَّبِيّ قَالَ زَوْج بَنَات نِسَآء مُؤْمِن دَنَا عَلَيٰ مِن جَلَٰبِیب ذَٰلِك أَدْنَيٰ أَن عَرَفَ لَا أُوذِيَ كَانَ ٱللَّه غَفُور رَّحِیم
33##60	إِن لَم ٱنتَهَيٰ مُنَٰفِقُون ٱلَّذِي فِي قَلْب مَّرَض مُرْجِفُون فِي مَدِینَة أَغْرَیْ ثُمّ لَا یُجَاوِرُ فِي إِلَّا قَلِیل
33##61	مَّلْعُونِین أَیْن مَا ثُقِفُ أَخَذَ قُتِّلُ تَقْتِیل
33##62	سُنَّة ٱللَّه فِي ٱلَّذِي خَلَا مِن قَبْل لَن وَجَدَ سُنَّة ٱللَّه تَبْدِیل
33##63	سَأَلَ نَّاس عَن سَاعَة قَالَ إِنّ مَا عِلْم عِند ٱللَّه مَا أَدْرَيٰ لَعَلّ سَاعَة كَانَ قَرِیب
33##64	إِنّ ٱللَّه لَعَنَ كَٰفِرُون أَعَدَّ سَعِیر
33##65	خَٰلِد فِي أَبَدًا لَا وَجَدَ وَلِيّ لَا نَصِیر
33##66	یَوْم قَلَّبُ وَجْه فِي نَار قَالَ لَیْت أَطَاعَ ٱللَّه أَطَاعَ رَسُول
33##67	قَالَ رَبّ إِنّ أَطَاعَ سَیِّد كُبَرَآء أَضَلَّ سَبِیل
33##68	رَبّ آتَي ضِعْف مِن عَذَاب لَعَنَ لَعْن كَبِیر
33##69	أَیُّهَا ٱلَّذِي ءَامَنَ لَا كَانَ ٱلَّذِي أُوذِيَ مُوسَيٰ بَرَّأَ ٱللَّه مِن مَا قَالَ كَانَ عِند ٱللَّه وَجِیه
33##70	أَیُّهَا ٱلَّذِي ءَامَنَ ٱتَّقَيٰ ٱللَّه قَالَ قَوْل سَدِید
33##71	أَصْلَحَ عَمَل غَفَرَ ذَنب مَن أَطَاعَ ٱللَّه رَسُول قَد فَازَ فَوْز عَظِیم
33##72	إِنّ عَرَضَ أَمَٰنَت عَلَيٰ سَمَآء أَرْض جَبَل أَبَي أَن حَمَلَ أَشْفَقْ مِن حَمَلَ إِنسَٰن إِنّ كَانَ ظَلُوم جَهُول
33##73	عَذَّبَ ٱللَّه مُنَٰفِقُون مُنَٰفِقَٰت مُشْرِك مُشْرِكَٰت تَابَ ٱللَّه عَلَيٰ مُؤْمِن مُّؤْمِنَٰت كَانَ ٱللَّه غَفُور رَّحِیم
34##1	حَمْد ٱللَّه ٱلَّذِي مَا فِي سَمَآء مَا فِي أَرْض حَمْد فِي آخِر حَكِیم خَبِیر
34##2	عَلِمَ مَا یَلِجَ فِي أَرْض مَا خَرَجَ مِن مَا نَزَلَ مِن سَمَآء مَا یَعْرُجُ فِي رَّحِیم غَفُور
34##3	قَالَ ٱلَّذِي كَفَرَ لَا أَتَي سَاعَة قَالَ بَلَيٰ رَبّ أَتَي عَٰلِم غَیْب لَا یَعْزُبُ عَن مِثْقَال ذَرَّة فِي سَمَآء لَا فِي أَرْض لَا أَصْغَر مِن ذَٰلِك لَا أَكْبَر إِلَّا فِي كِتَٰب مُّبِین
34##4	جَزَيٰ ٱلَّذِي ءَامَنَ عَمِلَ صَّٰلِحَٰت أُولَٰٓئِك مَّغْفِرَة رِزْق كَرِیم
34##5	ٱلَّذِي سَعَيٰ فِي ءَایَة مُعَٰجِزِین أُولَٰٓئِك عَذَاب مِن رِجْز أَلِیم
34##6	رَءَا ٱلَّذِي آتَي عِلْم ٱلَّذِي أَنزَلَ إِلَيٰ مِن رَبّ حَقّ هَدَي إِلَيٰ صِرَٰط عَزِیز حَمِید
34##7	قَالَ ٱلَّذِي كَفَرَ هَل دَلَّ عَلَيٰ رَجُل نَبَّأَ إِذَا مُزِّقْ كُلّ مُمَزَّق إِنّ فِي خَلْق جَدِید
34##8	ٱفْتَرَيٰ عَلَيٰ ٱللَّه كَذِب أَم جِنَّة بَل ٱلَّذِي لَا ءَامَنَ آخِر فِي عَذَاب ضَلَٰل بَعِید
34##9	لَم رَءَا إِلَيٰ مَا بَیْن یَد مَا خَلْف مِن سَمَآء أَرْض إِن شَآءَ خَسَفَ أَرْض أَو تُسْقِطَ عَلَيٰ كِسَف مِن سَمَآء إِنّ فِي ذَٰلِك ءَایَة كُلّ عَبْد مُّنِیب
34##10	قَد آتَي دَاوُد مِن فَضْل جَبَل أَوِّبِ مَع طَیْر أَلَ حَدِید
34##11	أَن عَمِلَ سَٰبِغَٰت قَدَّرَ فِي سَّرْد عَمِلَ صَٰلِح إِنّ مَا عَمِلَ بَصِیر
34##12	سُلَیْمَٰن رِیح غُدُوّ شَهْر رَوَاح شَهْر أَسَلْ عَیْن قِطْر مِن جِنّ مَن عَمِلَ بَیْن یَد إِذْن رَبّ مَن زَاغَ مِن عَن أَمْر أَذَاقَ مِن عَذَاب سَعِیر
34##13	عَمِلَ مَا شَآءَ مِن مَّحَٰرِیب تَّمَاثِیل جِفَان جَوَاب قُدُور رَوَٰسِي عَمِلَ ءَال دَاوُد شُكْر قَلِیل مِن عَبْد شَكُور
34##14	لَمَّا قَضَيٰٓ عَلَيٰ مَوْت مَا دَلَّ عَلَيٰ مَوْت إِلَّا دَآبَّة أَرْض أَكَلَ مِنسَأَت لَمَّا خَرَّ تَبَیَّنَ جِنّ أَن لَو كَانَ عَلِمَ غَیْب مَا لَبِثَ فِي عَذَاب مُّهِین
34##15	قَد كَانَ سَبَإ فِي مَسْكَن ءَایَة جَنَّة عَن یَمِین شِّمَال أَكَلَ مِن رِزْق رَبّ شَكَرَ بَلْدَة طَیِّبَة رَبّ غَفُور
34##16	أَعْرَضَ أَرْسَلَ عَلَيٰ سَیْل عَرِم بَدَّلَ جَنَّة جَنَّة ذُو أُكُل خَمْط أَثْل شَيْء مِن سِدْر قَلِیل
34##17	ذَٰلِك جَزَيٰ مَا كَفَرَ هَل نُجَٰزِيٓ إِلَّا كَفُور
34##18	جَعَلَ بَیْن بَیْن قَرْیَة ٱلَّذِي بَٰرَكَ فِي قَرْیَة ظَٰهِرَة قَدَّرَ فِي سَیْر سَارَ فِي لَیْل یَوْم ءَامِنِین
34##19	قَالَ رَبّ بَٰعِدْ بَیْن أَسْفَار ظَلَمَ نَفْس جَعَلَ حَدِیث مُزِّقْ كُلّ مُمَزَّق إِنّ فِي ذَٰلِك ءَایَة كُلّ صَبَّار شَكُور
34##20	قَد صَدَّقَ عَلَيٰ إِبْلِیس ظَنّ ٱتَّبَعَ إِلَّا فَرِیق مِن مُؤْمِن
34##21	مَا كَانَ عَلَيٰ مِن سُلْطَٰن إِلَّا عَلِمَ مَن ءَامَنَ آخِر مِن مَن مِن فِي شَكّ رَبّ عَلَيٰ كُلّ شَيْء حَفِیظ
34##22	قَالَ دَعَا ٱلَّذِي زَعَمَ مِن دُون ٱللَّه لَا مَلَكَتْ مِثْقَال ذَرَّة فِي سَمَآء لَا فِي أَرْض مَا فِي مِن شِرْك مَا مِن مِن ظَهِیر
34##23	لَا نَفَعَ شَفَٰعَة عِند إِلَّا مَن أَذِنَ حَتَّيٰ إِذَا فُزِّعَ عَن قَلْب قَالَ مَاذَا قَالَ رَبّ قَالَ حَقّ عَلِیّ كَبِیر
34##24	قَالَ مَن رَزَقَ مِن سَمَآء أَرْض قَالَ ٱللَّه إِنّ أَو إِیَّا عَلَيٰ هُدًي أَو فِي ضَلَٰل مُّبِین
34##25	قَالَ لَا سَأَلَ عَن مَا أَجْرَمُ لَا سَأَلَ عَن مَا عَمِلَ
34##26	قَالَ جَمَعَ بَیْن رَبّ ثُمّ فَتَحَ بَیْن حَقّ فَتَّاح عَلِیم
34##27	قَالَ أَرَیْ ٱلَّذِي أَلْحَقْ شَرِیك كَلَّا بَل ٱللَّه عَزِیز حَكِیم
34##28	مَا أَرْسَلَ إِلَّا كَآفَّة نَّاس بَشِیر نَذِیر لَٰكِنّ أَكْثَر نَّاس لَا عَلِمَ
34##29	قَالَ مَتَيٰ هَٰذَا وَعْد إِن كَانَ صَادِق
34##30	قَالَ مِّیعَاد یَوْم لَا یَسْتَأْخِرُ عَن سَاعَة لَا یَسْتَقْدِمُ
34##31	قَالَ ٱلَّذِي كَفَرَ لَن ءَامَنَ هَٰذَا قُرْءَان لَا ٱلَّذِي بَیْن یَد لَو رَءَا إِذ ظَالِم مَوْقُوفُون عِند رَبّ رَجَعَ بَعْض إِلَيٰ بَعْض قَوْل قَالَ ٱلَّذِي ٱسْتَضْعَفُ ٱلَّذِي ٱسْتَكْبَرَ لَوْلَآ كَانَ مُؤْمِن
34##32	قَالَ ٱلَّذِي ٱسْتَكْبَرَ ٱلَّذِي ٱسْتَضْعَفُ صَدَّ عَن هُدًي بَعْد إِذ جَآءَ بَل كَانَ مُجْرِم
34##33	قَالَ ٱلَّذِي ٱسْتَضْعَفُ ٱلَّذِي ٱسْتَكْبَرَ بَل مَكْر لَیْل نَهَار إِذ أَمَرَ أَن كَفَرَ ٱللَّه جَعَلَ أَندَاد أَسَرَّ نَّدَامَة لَمَّا رَءَا عَذَاب جَعَلَ غِلّ فِي عُنُق ٱلَّذِي كَفَرَ هَل جَزَيٰ إِلَّا مَا كَانَ عَمِلَ
34##34	مَا أَرْسَلَ فِي قَرْیَة مِن نَذِیر إِلَّا قَالَ مُتْرَفِین إِنّ مَا أَرْسَلَ كَٰفِرُون
34##35	قَالَ أَكْثَر مَال وَلَد مَا مُعَذَّبِین
34##36	قَالَ إِنّ رَبّ بَسَطَ رِزْق مَن شَآءَ قَدَرَ لَٰكِنّ أَكْثَر نَّاس لَا عَلِمَ
34##37	مَا مَال لَا وَلَد ٱلَّذِي قَرَّبَ عِند زُلْفَيٰٓ إِلَّا مَن ءَامَنَ عَمِلَ صَٰلِح أُولَٰٓئِك جَزَآء ضِعْف مَا عَمِلَ فِي غُرُفَٰت ءَامِنِین
34##38	ٱلَّذِي سَعَيٰ فِي ءَایَة مُعَٰجِزِین أُولَٰٓئِك فِي عَذَاب مُّحْضَر
34##39	قَالَ إِنّ رَبّ بَسَطَ رِزْق مَن شَآءَ مِن عَبْد قَدَرَ مَا أَنفَقَ مِن شَيْء أَخْلَفُ خَیْر رَّٰزِقِین
34##40	یَوْم حَشَرَ جَمِیع ثُمّ قَالَ مَلَك هَٰذَا إِیَّا كَانَ عَبَدَ
34##41	قَالَ سُبْحَٰن وَلِيّ مِن دُون بَل كَانَ عَبَدَ جِنّ أَكْثَر مُؤْمِن
34##42	یَوْم لَا مَلَكَتْ بَعْض بَعْض نَفْع لَا ضَرّ قَالَ ٱلَّذِي ظَلَمَ ذَاقُ عَذَاب نَار ٱلَّذِي كَانَ كَذَّبَ
34##43	إِذَا تَلَيٰ عَلَيٰ ءَایَة بَیِّنَة قَالَ مَا هَٰذَا إِلَّا رَجُل أَرَادَ أَن صَدَّ عَن مَا كَانَ عَبَدَ آبَاء قَالَ مَا هَٰذَا إِلَّا إِفْك مُّفْتَرًي قَالَ ٱلَّذِي كَفَرَ حَقّ لَمَّا جَآءَ إِن هَٰذَا إِلَّا سِحْر مُّبِین
34##44	مَا آتَي مِن كِتَٰب دَرَسُ مَا أَرْسَلَ إِلَيٰ قَبْل مِن نَذِیر
34##45	كَذَّبَ ٱلَّذِي مِن قَبْل مَا بَلَغَ مِعْشَار مَا آتَي كَذَّبَ رَسُول كَیْف كَانَ نَكِیر
34##46	قَالَ إِنّ مَا وَعَظْ وَٰحِدَة أَن قَامَ ٱللَّه مَثْنَيٰ فُرَٰدَيٰ ثُمّ یَتَفَكَّرُ مَا صَاحِب مِن جِنَّة إِن إِلَّا نَذِیر بَیْن یَد عَذَاب شَدِید
34##47	قَالَ مَا سَأَلَ مِن أَجْر إِن أَجْر إِلَّا عَلَيٰ ٱللَّه عَلَيٰ كُلّ شَيْء شَهِید
34##48	قَالَ إِنّ رَبّ قَذَفَ حَقّ عَلَّٰم غُیُوب
