,Finglish,Persian
464,ma az oon mohavezat mikonim.,ما ازاون محافظت ميکنيم
171,migam javad gamoonam chizish shodeh.,میگم جواد،گمونم چیزیش شده
1759,mage maa gharibeim ke na khabari na etelaai na chizi.,مگه ما غریبه ایم که نه خبری نه اطلاعی نه چیزی.
606,gonjeshki ba ajale va tamam e tavan be ataash nazdik mishod va barmigasht.,گنجشکی با عجله و تمام توان به آتش نزدیک می شد و برمی گشت!
78,tavalod si salegit mobarak.,تولد 30 سالگيت مبارک
540,chera man ra aavardid inja?,چرا من رو آوردي اينجا؟
937,haalaa fardaa perspolis yek setaareye kamrang mizanad rooye lebaasash,حالا فردا پرسپولیس یه ستاره ی کمرنگ میزنه رو لباسش
1708,"na, vali azash khosham miyaad.",نه ، ولی ازش خوشم میاد
1034,aval enteshaaraate gaazi raa har dahe be nesf beresaanim dar emtedaade masire elmiye tavaafoghe paaris.,اول انتشارات گازی را هر دهه به نصف برسانیم در امتداد مسیر علمی توافق پاریس
1174,darbaareye ye modiri be esme.,درباره یه مدیری به اسم
1504,ye zan too in gorbe hast?,یه زن تو اون گربه هست؟
727,man mikhaaham injaa bemaani,من مي خوام اينجا بموني
1133,bezaar injoori baraat begam.,بزار اینجوری برات بگم
269,va kheili ha madar shoudand vaghti khoudeshan hanouz bache boudand.,و خیلیها مادر شدند وقتی خودشان هنوز بچه بودند
1351,doostaan va aashnaayaanam be khodaayaane sarnevesht mispaaram.,دوستان و آشنایانم را به خدایان سرنوشت می سپارم
1768,reghaabat baraaye be dast aavardane kaar haaye mojood besyaar tangaatang ast.,رقابت برای به دست آوردن کارهای موجود بسیار تنگاتنگ است
1176,nokteye kelidi in ast dar in lahazaat sari va motafaker baashim.,نکته کلیدی این است در این لحظات سریع و متفکر باشیم
54,hekayateh in rouz hayeh ma.,حکایت این روزهای ما
1475,kholaase baa maashin oomad donbaale man va maamaan va raftim markaze kharid.,خلاصه با ماشین اومد دنبال من و مامان و رفتیم مرکز خرید.
1194,-shomaa khaanom mohamadi hastin?,شما خانوم محمدی هستین؟-
1622,man daaram behesh fekr mikonam.,من دارم بهش فکر میکنم
676,amaa dar yek negah samaanvand vojood daarad ke dar yek porose mamoolan toolaani shomaa raa be ghalat farib dade va be baavar be chizi motmaen mikonad,اما در یک نگاه سامانمند وجود دارد، که در یک پروسه معمولاً طولانی شمارا بهغلط فریب داده و به باور به چیزی مطمئن میکند
450,oonja ha kasi ra nemibini ke ketab dastash bashad.,اون جاها،کسی رو نمیبینی که تو دستش کتاب نباشه
946,az khodaayam ast ke baahaat biaayam,از خدامه که باهات بيام
1125,oh! negaah kon! - chi man?,اوه! نگاه كن! -چی من؟
1773,vey afzood: afraade taaze be doraan residei dar aamrikaa hastand ke be khoobi baa ghodrate iraan aashnaayi nadaarand.,وی افزود:افراد تازه به دوران رسیده ای در امریکا هستند که به خوبی با قدرت ایران اشنایی ندارند
1534,man baayad az injaa beram!,!من باید از اینجا برم
1840,"raftam lebaas forooshi, goft salaam hamin shalvaaro baraaye khodamam bardaashtam, befarmaaid.",رفتم لباس فروشی، گفت سلام همین شلوارو برای خودمم برداشتم، بفرمایید
1238,ghazaa kooshesh? man ghazaamo mikhaam.,غذا کوشش؟ من غذامو می خوام
863,man chizi nemigooyam dahanam ghors ast amaa mahz etelaaet agar dafe bad khaast biad in too gooshish raa azash begirid akhe har baar ke aamade bedoon gooshi nayaamade yek tir va do neshaan mizanad,من چیزی نمیگم. دهنم قرصه. اما محض اطلاع اگه دفعه بعد خواست بیاد این تو، گوشیشو ازش بگیرین. آخه هر بار که اومده بدون گوشی نیومده، یه تیرو دونشون میزنه.
650,"agar shoma fard e momtazi hastid, shomaa raahat tar mitavanid az ham peymaanaaan hemaayat konid.",اگر شما فرد ممتازی هستید، شما راحتتر میتوانید از همپیمانان حمایت کنید
1543,intori bishtar haal mide.,اینطوری بیشتر حال میده
1192,khodaayaa mishe ye kaari koni in se maahe paaiz ke inghadr baraam doost daashtaniye talkh nashe va aaraambakhsh baashe???,خدایا میشه یه کاری کنی این سه ماه پائیز که انقدر برام دوست داشتنیه تلخ نشه و آرامشبخش باشه؟؟؟
1735,bache haa biyaayd biroon.,.بچه ها ، بیایید بیرون
792,5 daghighe pish azat porsidam,پنج دقیقه پیش ازت پرسیدم
622,man be komak e to ehtiaji nadaram.,من به کمکت احتیاجی ندارم
1884,aasaan ast ke intor fekr konim.,آسان است که اینطور فکر کنیم
818,pas say kon bikhialash beshavi,پس سعي کن بيخيالش بشي
59,rafteh tou otagh agha esfandiar.,رفته تو اتاق اقا اسفندیار.
1900,yaad gereftam vaghti naaraahatam labkhand bezanam va ejaaze nadam kasi motavajeh daroonam beshe.,یاد گرفنم وقتی ناراحتم لبخند بزنم و اجازه ندم کسی متوجه درونم بشه
30,misheh hasan hamrah ma biad?,میشه حسن همراهمون بیاد؟
207,man barat yad dasht gozashtam.,من برات يادداشت گذاشتم
1340,man ghablan intori naboodam.,من قبلا اینطوری نبودم
422,ghomash az divar e khane ha sourakh ijad kardand ke dar hangam e sakhti be dad ham beresand ke in ghahti begzarad.,قومش ازدیوار خانه ها سوراخ ایجاد کردندکه درهنگام سختی به داد هم برسند که این قحطی بگذرد
73,"havayeh khoub, bishtar rouz ha barouni vojoudeh hes aramesh va boudan dar kenar adam hay khob.",هوای خوب،بیشتر روزابارونی، وجود حس ارامش و بودن در کنار آدمای خوب
1695,nemidoonam baayad chikaar konam?,نمیدونم باید چیکار کنم
1159,"man nemitavaanam zibaayi khod raa penhaan konam, behtar ast aan raa az khod door konam.",من نمیتوانم زیبایی خود را پنهان کنم، بهتر است ان را از خود دور کنم
1869,doktor javaab daad: bale.,دکتر جواب داد: بله
373,chon ke andaze am nist.,چونکه اندازه ام نيست
75,akhe barah jalebeh oun chiz hayei ke azashoun mishnavim ba oun chiz hayei ke khodemoun mibinim.,اخه برام جالبه اون چیزای که ازشون می شنویم با اون چیزای که خودمون می بینیم.
1904,daamaneye in vaagheiyat taa mahale kaar keshide mishavad.,دامنه این واقعیت تا محل کار کشیده میشود
890,az aan shokolaat khoshash miaayad,اون از شکلات خوشش میاد
98,ke natavanand kar peyda konand.,که نتوانند کار پیدا کنند
189,touye kelassemoun fazaye kheili khoubi boud taghriban hame baham rahat boudim.,تو کلاسمون فضای خیلی خوبی بود تقریبا همه با هم راحت بودیم
369,"ghazaha ye bi fayede va toulani, campain ha ye rosva gar lazem nistand.",دعویهای قضایی بیفایده و طولانی، کمپینهای عمومی رسواگر -- لازم نیستند
461,pesaram masiha rang ha ye mokhtalef e lebas darad.,پسرم مسیحا رنگهای مختلف لباس دارد
993,na masale bi hormati nist,نه مسئله بي حرمتي نيست
1607,man in model ta'aamole miyaan nasli raa baa loraa va time derakhshaane oloome daadehaayemaan tajrobe kardam.,من این مدل تعامل میاننسلی را با لورا و تیم درخشان علوم دادههایمان تجربه کردم.
1342,se taa sho gorbe mikhore.,سه تاشو گربه میخوره
599,be dardetan ke nemikhorad.,به دردتون که نميخوره-
1461,sedaaye taraghe ham miyoomad va har dafe ke taraghe mizadan chort sageshoon ro paare mikard va az khaab miparidand.,صدای ترقه هم میومد و هر دفه که ترقه میزدن چرت سگشون رو پاره میکرد و از خواب میپرید
1594,too aashpazkhaane miz nabood?,تو آشپزخونه میز نبود؟
860,chon to tooye tim man hasti,چون تو توي تيم من هستي
483,yek lahze gooshi ra negah dar.,يه لحظه گوشي رو نگهدار
1458,mage in ke ye harfi bezani.,مگه اینکه یه حرفی بزنی
338,hala ma montazer e do bazi e baademan ba spania va porteghal hastim va omid be sooud darim.,حالا منتظر دو بازی بعدمون با اسپانیا و پرتغالیم و امید به صعود داریم
1154,baraaye bish az yek saal az enteshaare maghaaleye maa pey bordim ke tedaade ghavaanine hemaayati andak ast.,برای بیش از یکسال از انتشار مقاله ما پی بردیم که تعداد قوانین حمایتی اندک است
1913,pas kaareshaan chist?,پس کارشان چیست؟
572,yad begirin bebinid che joori az pesaresh harf mizanad.,یاد بگیرین، ببینین چجوری از پسرش حرف می زنه.
1789,tahghir nakardane yek fard hamaanande ehteraam gozaashtan be aan haa nist.,تحقیر نکردن یک فرد همانند احترام گذاشتن به آنها نیست
921,chizi ke fekr mikonid vaghti pir shodid mishavid,چیزی که فکر می کنید وقتی پیر شدید میشید
1579,to vaase man kaar nemikoni.,تو واسه من کار نمی کنی
582,oh az oon dar vared nasho.,اوه از اون در وارد نشو
825,amaa aslan khodam raa be zahmat nayandaakhtam va kaar nakardam har kasi migoft kaar kon migoftam man tanbalam az man kaar nakhaahid,امااصلا خودمو به زحمت ننداختم وکار نکردم،هرکی میگفت کار کن،میگفتم من تنبلم ازمن کار نخایید
687,aare delam mikhaad che toram,آره دلم می خواد، چه جورم
1623,in ravesh taghriban tavasote hich kas ejraa nemishe.,این روش تقریباً توسط هیچكس اجرا نمیشه
145,dashtam tagheeri bozorg ro dar donya shekl midadam.,داشتم تغییری بزرگ را در دنیا شکل میدادم
1599,aayaa oo dooste saadegh va motmaene digari daasht taa harfhaayash raa baa oo dar miyaan bogzaarad?,آیا او دوست صادق و مطمئن دیگری داشت تا حرفهایش را با او در میان بگذارد؟
1073,iraan be tore motavaset saali 15 taa daaroye ghati sarataan kashf mikone.,ایران به طور متوسط سالی ۱۵ تا داروی قطعی سرطان کشف میکنه
611,ma be tafakor e radikal niazmandim.,ما به تفکری رادیکال نیازمندیم
576,bayad ayanei motohavel va mokhareb ra pishbini konim agar tafakor e kharej az janbe dashte bashim.,باید آیندهای متحول و مخرب را پیشبینی کنیم اگر تفکر خارج از جعبه داشته باشیم
706,balke etefaghi,اميدوارم که اتفاقي
808,va haalaa baa in barnaame va in morabihaa mitavaanand in kaar raa bokonand,و حالا با این برنامه و این مربیها، میتوانند اینکار را بکنند
702,na yek vasile sargarmi ke,نه يه وسيله سرگرمي که
1575,"daaneshe pardaazeshiye man darbaareye ""chegoone kaar haa raa anjaam midahid""?",دانش پردازشی من درباره «چگونه کارها را انجام میدهید؟»
673,kam kam aadat kardam be fazaa va vaghti be khodam aamadam didam yek maah az daaneshgaah gozashte,کم کم عادت کردم به فضا و وقتی به خودم اومدم دیدم یکماه از دانشگاه گذشته
1243,mikhaad estefaade kone?,می خواد استفاده کنه ؟
1269,az bimaariye naaderi ranj mibord.,از بیماری نادری رنج می برد.
811,bejaaye in koli baazi haa berid baraayam ghazaa biavarid,بجای این کولی بازیا برین برام غذا بیارین.
1812,dahanetoon ro bebandid.,دهنتون رو ببندید
767,ziaad ham aaheste raah naro,زياد هم اهسته راه نرو
862,va yek maadar va pesar ham be shohar jaan dolaar daadand va pool baa arzesh maan raa gereftand,و یه مادر و پسر هم به شوهرجان دلار دادن و پول با ارزشمون رو گرفتن
1441,"bache haa, khaahesh mikonam.",بچه ها ، خواهش می کنم
81,zanouyash ra navazesh mikounad va ahangi ra zemzemeh mikonad.,زانویش را نوازش می کند و اهنگی را زمزمه می کند.
466,yek kif ham dast migiram.,يه کيف هم دست مي گيره-
1842,shomaa az nelson maandelaa ham beporsi mige man too bachegi boor boodam.,شما از نلسون ماندلا هم بپرسی میگه من تو بچگی بور بودم
224,tou kheili be man hol dadi.,تو خيلي به من حال دادي
672,man baa fibi barnaame daaram,من با فيبي برنامه دارم
639,ama aya dar hes e ndorosti az amniat khaab rafteim? aya rahati ba click bar rooye yek jabe aaghaz mishavad?,اما آیا ما در حس نادرستی از امنیت به خواب رفتهایم؟ آن به راحتی با کلیک برروی یک جعبه آغاز میشود
1802,khataab be moosh mibini che zendegi baraamoon dorost kardi?,خطاب به موش می بینی چه زندگی برامون درست کردی؟
1051,kodoom ro entekhaab mikardi?,کدوم رو انتخاب میکری؟
1809,aval ine yaa in yekiye?,اول اینه یا این یکیه؟
797,man naft raa migiram,من نقش رو ميگيرم.
1464,raast migan be khodaa darde manam hast man sad dafe goftam behesh.,راست می گن بخدا درد منم هست من صد دفعه گفتم بهش
1650,man motaghedam ke in mohit haa shabakeye kherade miyaan nasli raa migoshaayad banaabarin hameye maa mitavaanim az ham beyaamoozim.,من معتقدم که این محیطها شبکه خرد میان نسلی را میگشایند بنابراین همه ما میتوانیم از هم بیاموزیم
747,emrooz naresidam beravam film begiram baraaye bacheam,امروز نرسیدم برم شیر بگیرم برا بچم
480,be sorat yek zarf e por az ghaza bara ye moosh mibord kheili khob hala begou zood bash.,به سرعت یک ظرف پر از غذا برای موش می برد خیلی خوب حالا بگو. زود باش.
149,anjam dadan karhaie ke faratar az vazifat bood.,انجام دادن کارایی که فراتر از وظیفه ت بود
1636,be ghadri baa adab harf mizad va hey mazerat khaahi mikard ke roo mokhe man bood.,به قدری با ادب حرف میزد و هی معذرت خواهی میکرد که رو مخ من بود
1710,shaayad betooni faraamooshesh koni.,شاید بتونی فراموشش کنی
979,va hame zende hastand,!و همه زنده هستن.
496,ya in ke biaiam on ja.,.يا اينکه بيام اونجا
557,gomesh kardei han? taajobi ham nadarad.,گمش کردی، ها؟ تعجبی هم نداره
344,ta las ve gas ba hash be ravim.,تا لاس وگاس باهاش بريم
1296,kise raa baaz kard por az sekehaaye talaa bood.,کیسه را باز کرد پر از سکه های طلا بود
1851,shaayad daaeman behesh nemizane.,شاید دائما بهش نمی زنه
249,shayad kesel konandeh fi nazar biad.,شاید کسل کننده به نظر بیاد
795,aahaay baa shoma hastam maloom hast daarid che kaar mikonid?,اهای با شمام، معلوم هست دارین چیکار می کنین؟
692,nemidaanam ghadim che esraari daashtand bache hamishe kachal baashad,نمیدونم قدیم چه اصراری داشتن بچه همیشه کچل باشه
663,hich kasi ham nist baghalash konam,هيچکي هم نيست بغلش کنم
983,ghazaai baraaye chand maah ghabl ast,قضيه براي چندماه قبله
1292,roozhaaye molaaghaate zendaanihaa ke khaanevaadeam be didaaram miyaamadand khoob midaanestam ke khabare khoshi baraayam nadaarand.,روزهای ملاقات زندانیها که خانوادهام به دیدارم میامدند خوب میدانستم که خبر خوشی برایم ندارند
212,"age dou daghigheh ham bikar bashan, ketabeshoun rou va mikonan va shorou be khoundan mikonan.",اگه دو دقیقه هم بیکار باشن کتابشونو وا میکنن و شروع به خوندن میکنن
954,man mikhaaham beravam aabshaar behesht,من می خوام برم آبشار بهشت
309,kheily mekham daavatet konam.,خيلي مي خوام دعوتت کنم
45,in tedad zanani ast ke ghabl az hejdah salegi ezdevaj kardeand.,این تعداد زنانی است که قبل از ۱۸ سالگی ازدواج کردهاند
1669,"kaare khoobi mikoni, aafarin.",کار خوبی می کنی ، افرین.
1486,dafeye dige haalam bad beshe maloom nist che balaayi saram biyaad.,دفعه دیگه حالم بد بشه معلوم نیست چه بلایی سرم بیاد.
1244,"ye maadar shohar daaram: age az dastesh naaraahat baasham kheyli raahat mitoonam behesh begam, kheyli raahat mitoonam baahaash bahs konam.",یه مادرشوهردارم: اگه از دستش ناراحت باشم خیلی راحت میتونم بهش بگم،خیلی راحت میتونم باهاش بحث کنم
610,jash in ha doostam hastand.,جاش ، اينا دوستام هستن
1279,be har haal kasaayi ke to in veblaag hastan va daastaan haa ro mikhoonan ghatan eshgh o tajrobe kardan.,به هرحال کسایی که تو این وبلاگ هستن و داستان ها رو میخونن قطعا عشق و تجربه کردن
740,saaghe haaye kheyzaraan atraaf jasad hame khooni bood,ساقههای شکسته خیزران اطراف جسد همه خونی بود
742,digar cheshmhayam raa nemikhaaham nemikhaaham bebinam,دیگه چشمام و نمی خوام نمی خوام دیگه ببینم!
1591,arzeshe sahaame sherkat be taazegi be nesf reside bood.,ارزش سهام شرکت به تازگی به نصف رسیده بود
1257,ke baraat kode takhfif befrestam.,که برات کد تخفیف بفرستم
494,"spani, porteghl, marakesh.",اسپانیا، پرتغال، مراکش
1676,"dar zendegiye roozmare dar mahale kaar, raah haayi hast ke javaanaan raa poshtibaani konim?",در زندگی روزمره در محل کار، راههایی هست که جوانان را پشتیبانی کنیم؟
842,chand baar begooyam dozdi dar kaar nist eshaare be mostaraam moshkel az aan jaa ast,چند بار بگم دزدی در کار نیست اشاره به مستراح مشکل از اونجاست.
1632,man javaabe shomaa ro nemidam asaabet kharaabe.,من جواب شما رو نمی دم اعصابت خرابه.
1124,man sharaayete khodamo daaram. baayad baa man hamaahang konid.,من شرایط خودمو دارم. باید با من هماهنگ کنید.
630,digar az roozi ke rafti hata khabat ra ham nadidam.,دیگه از روزی که رفتی حتی خوابتم ندیدم
1324,aasefe koochool moochooloo.,عاصف کوچول موچولو
476,va dar hali ke khoonam be joosh amdae bood ba eteraz goftam.,و در حالی که خونم به جوش امده بود با اعتراض گفتم
871,mesl maa haa nemitavaanand harf bezanand va begooyand che chizi shaan shode kheyli mazloom va bi defaa'and,مثل ماها نمیتونن حرف بزنن و بگن چششون شده،خیلی مظلوم و بی دفاعن
1394,dige in kaaro nemikonim.,دیگه این کارو نمی کنیم
760,yaa maashin chizish shode ke polis mifahmad az jaaye barkhord moghaser ki ast,یا ماشین چیزیش شده که پلیس می فهمه از جای برخورد مقصر کیه
607,amaa ghorooreman kol e keyhaan ra dar bar gerefte va khod ra yegane hooshmand e hasti midanim.,اما غرورمان كل كيهان را در برگرفته و خود را يگانه هوشمند هستی ميدانيم
1500,"va maa, shahrvandaan? maa mitavaanim az sedaayemaan estefaade konim.",و ما، شهروندان؟ ما میتوانیم از صدایمان استفاده کنیم
790,be aan del koochak va saaf va zolaalash hasoodiam shod,به اون دل کوچیک و صاف و سادش حسودیم شد
1407,"agar idehaaye aali daashte baasham, in ide raa enekaas dahid.",اگر ایدهای عالی داشته باشم، این ایده را انعکاس دهید
1287,forooshande goft: man honarmandam gheymate goldaani raa ke saakhteam migiram zibaayi raayegaan ast!,فروشنده گفت:من هنرمندم قیمت گلدانی را که ساخته ام می گیرم زیبایی رایگان است !
1041,aanham dar moghaabele yek arteshe 15 hezaar nafare.,آنهم در مقابل یک ارتش 15 هزارنفره
1846,emkaane belghoveye tahrif yaa taghire khaatereye shomaa az aan rooydaad vojood daarad.,امکان بالقوه تحریف یا تغییر خاطره شما از آن رویداد وجود دارد
564,man va maman har rooz mirim biroon va khosh migzaroonim.,من و مامان هر روز میریم بیرون میگردیم و خوش میگذرونیم
82,yek kif ham dast migira.,يه کيف هم دست مي گيره-
1046,dar vaziyati hastim ke mitavaanim be tahavolaat teye 12 saale aayande va pas az aan fekr konim.,در وضعیتی هستیم که میتواتیم به تحولات طی ۱۲ سال آینده و پس از آن فکر کنیم
1211,adab va ehteraam mitavaanand baaese taghviyate amalkarde saazmaan beshavand.,ادب و احترام میتوانند باعث تقویت عملکرد سازمان بشوند
961,yek zan too aan gorbe ast?,يه زن تو اون گربه هست؟
0,az ham joda shodan kheili sakhteh.,از هم جداشدن خيلي سخته
257,va dar toul noh sal un ha be recorde behtarin amal kard dar tamam doran residand.,و در طول نه سال آنها به رکورد بهترین عملکرد در تمام دوران رسیدند
616,be safar e yek sale ye khod be sarzamini gom shode edame dadam.,به سفر یک ساله خود به سرزمین گمشده ادامه دادم
214,mirim yeja estekhdam mishim ke komak konim yek nafar digar roya hayash ra donbal konad.,میریم یه جا استخدام میشیم که کمک کنیم یه نفر دیگه رویاهاشو دنبال کنه
1494,base dige dige harf nazan.,بسه دیگه دیگه حرف نزن
465,to kee hasti kee to ra ferestade?,تو کی هستی؟ کی تو رو فرستاده؟
1506,vali in ide haa va barnaame haa faghat yek shoroo ast.,ولی این ایدهها و برنامه فقط یک شروع است
1072,saa'at hododaaye haft bood.,ساعت حدودای هفت بود
1017,parkhaashgari nemikonan!,!پرخاش گری نمی کنن
88,ensan bana be tahghighat khod ra dast bala migirad dar tavanaei be khater avardan daghayegh mohem ehsasi pas az gouzashte modat zamani.,انسان، بنابه تحقیقات، خود را دست بالا میگیرد در توانایی به خاطر آوردن دقایق مهم احساسی پس از گذشت مدت زمانی
729,khaane mehr baazneshastegaan ajab,خانه ی مهر بازنشستگان، عجب
185,aslan hame tashrif biarin khouneye ma.,اصلن همه تشریف بیارین خونه ما.
1415,nashnidi sedaaye esfandiyaar ro?,نشنیدی صدای اسفندیار رو؟
1032,khob raast mige baabaat. faghat heykal gonde kardi.,خوب راست میگه بابات. فقط هیکل گنده کردی.
527,el kaado ye tavalodat chi mikhahad begirad barayat.,ال:کادوی تولدت چی میخواد بگیره برات؟
1814,el: rooze zan chi?,ال:روز زن چی؟
1021,ziraa tanhaa baa komake ham mitavaanim rishe haaye asaasi va payaamad haaye aazaar va aziyat raa az miyan bardaarim.,زیرا تنها با کمک هم میتوانیم ریشههای اساسی و پیامدهای آزار و اذیت را از میان برداریم
529,saham teye haman dore az bazaar jelo zade ast.,سهام طی همان دوره از بازار جلو زده است
1508,age mishe nashnide begirid.,اگه میشه نشنیده بگیرید
1827,"bebin, kheyli azat mamnoonam.",ببین ، خیلی ازت ممنونم
1393,gooyi har rooz khabare digari az soo estefaade az ghodrat be gooshemaan miresad.,گویی هر روز خبر دیگری از سوءاستفاده از قدرت به گوشمان میرسد
1617,hame vahshat mikonand va har kas baraaye ghaayem shodan be gooshei miravad.,همه وحشت می کنند و هر کس برای قایم شدن به گوشه ای می رود
1892,mard baa tars vaared mishavad.,مرد با ترس وارد می شود
1436,albate ke to dorost migi.,البته که تو درست میگی
1111,miporsid ke aayaa shamshir va yaa chiz haayi az in ghabil dar aanjaa didam?,میپرسید که ایا شمشیر و یا چیزهایی ازاین قبیل در انجا دیدم؟
866,to baa in haal zediat daari,تو با اينها ضديت داري
1625,injaa ye mohit kaariye va.,اینجا یه محیط کاریه و
1237,haale shomaa khoob ast?,حال شما خوب است؟
72,terump gofteh ben salman bishtar az man az jenayat nefrat darad.,ترامپ گفته بن سلمان بیشتر از من از جنایت نفرت دارد
58,"hala ke fekrash ra mikonam mibinam ke harfhayetan doroust ast, belakhareh bayad yek farghi beyneh man va in jojeh fokouli bashad, faryadi shabih be ghouresh.",حالا که فکرشو میکنم می بینم حرفاتون درسته. بالاخره باید یه فرقی بین من و این جوجه فکلی باشه. فریادی شبیه به غرش
841,aan vaght man ham mishavam hamkaarat,اونوقت منم ميشم همکارت
1886,vali khoobish ine ke dige enzevaa ro doost nadaaram.,ولی خوبیش اینه که دیگه انزوا رو دوست ندارم
1833,man vaaghean mazerat mikhaam.,من واقعا معذرت می خوام
1859,man mikhaam injaa bemooni.,من می خوام اینجا بمونی
1289,man konkoor ro daadam bade konkoor kheyli khoshhaal boodam chon emtehaan ro aali daadam.,من کنکور رو دادم بعده کنکور خیلی خشحال بودم چون امتحان رو عالی دادم
423,teflak madar bozorgam.,طفلک مادربزرگم
902,maa baa hamkaari javaanaan taraahi va tolid mikonim,ما با همکاری جوانان طراحی و تولید میکنیم
27,azizam behtaere har bioftim.,عزيزم بهتره راه بيفتيم
1283,baa yeki az ham khaabgahi haam kheyli samimi boodam.,با یکی از هم خوابگاهی هام خیلی صمیمی بودیم
37,mesleh sousmar khatel va kheyreh.,مثل سوسمار قاتل و غيره
1392,aaghaa in avale sobhi che doaayi ro pishnahaad midi behemoon?,اقا این اول صبحی چه دعایی رو پیشنهاد میدی بهمون؟
1866,dar ketaab ehsaase sekte namikonid baa in ke ghalam haa motafaavet ast.,در کتاب احساس سکته نمیکنید با اینکه قلمها متفاوت است
1309,aarezoo haa va oomid haaye besyaar jaalebi daarand.,آرزوها و امیدهای بسیار جالبی دارند
289,avalin bari ke farghe dokhtar va pessar ro fahmidam bacheh boudam va ba dokhtare hamsayeh davam shod.,اولین باری که فرق دختر وپسرو فهمیدم بچه بودم با دختر همسایه دعوام شد
930,agar alaan shoharjaan injaa bood migoft man va in hame khoshbakhti mahaale,اگه الان شوهرجان اینجا بود میگفت: من و این همه خوشبختی محاله
155,verd zaboon hameh hast ba oon tasbih o sajadeie ke pahn mikonand.,ورد زبون همست. با اون تسبیح و سجاده ای که پهن می کنه
1399,mayaazaar moori ke daane kesh ast.,میازار موری که دانه کش است
107,ta hala pesari behem ebraze alagheh nakardeh bood va behem pishnahade ashnaee nadadeh bood nemidoonestam chi kar konam.,تاحالا پسری بهم ابراز علاقه نکرده بود وبهم پیشنهاد اشنایی نداده بود نمیدونستم چیکار کنم
883,cheraa man raa aavardi injaa?,چرا من رو آوردي اينجا؟
121,chi tou khalkoubi karde ie?,چي، تو خالکوبي کردي؟
1635,nabarde yek shakhs alayhe yek keshvar.,نبرد یک شخص علیه یک کشور
1731,az roo poshte boomam biyaa paain.,از رو پشت بومم بیا پایین
520,chndler mishavad behem komak koni?,چندلر ميشه بهم کمک کني
368,rouz e panj om moshkel gosha bood.,روز پنجم مشکل گشا بود
1249,baazikone maraakesh gol be khode zad va kole iraan raft roo havaa az khoshhaalii.,بازیکن مراکش گل به خودی زد و کل ایران رفت رو هوا از خوشحالییییی
390,khob fekr konam bayad beram.,خوب ، فکر کنم بايد برم
726,moghei ke dashtam dandaan haayam raa mesvaak mizadam,موقعی که داشتم دندونامو مسواک می زدم
1493,-mota'asefam. in kaaro kardam.,متاسفم. این کارو کردم-
537,man masool e livan ha hastam.,من مسئول ليوان ها هستم
1230,kontorolam ro az dast daadam?,کنترلم رو از دست دادم؟
1743,va maa baraaye naahaar raftim.,و ما برای ناهار رفتیم
1291,"baashe, amaa gamoon nakonam too aabshaare behesht beshe otooboos peydaa kard.",باشه،اما گمون نکنم تو ابشار بهشت بشه اتوبوس پیدا کرد
909,mifahmi ke manzooram chi ast?,مي فهمي که منظورم چيه؟
656,zad va band daashtan ya in ke inaa baa ham yek zad va bandi daashtand,زدو بند داشتن یا اینکه اینا باهم یه زدو بندی داشتن
1147,amaa in tasmimaat eshtebaahe.,اما این تصمیمت اشتباهه
609,kodaam jabe ha maal man ast?,کدوم جعبه ها مال منه ؟
1431,moosh? aare. jigh mikeshad na.,موش ؟ آره .جیغ می کشد نه
1697,maa dar borhei az zamaan hastim ke donyaa baraaye kaar sari taghir mikonad.,ما در برههای از زمان هستیم که دنیا برای کار سریع تغییر میکند
1137,chon baa amalkarde khoob dar masaaele pishe roo.,چون با عملکرد خوب در مسائل پیش رو
1787,"taghir dar yek nafar, yek amal va yek kalame dar yek lahze rokh midahad.",تغییر در یک نفر، یک عمل و یک کلمه در یک لحظه رخ میدهد
551,"ma gozareshi ra dar bist keshvar montasher kardim ke dar aan khataa haye amniati ra bayan mokard, va besiari az mozooat e moshkel saz e digar ra.",ما گزارشی را در ۲۰ کشور منتشر کردیم، که در آن خطاهای امنیتی را بیان میکرد و بسیاری از موضوعات مشکل ساز دیگر را
924,khodaa midaanad che mojoodaati aanjaa zendegi mikonand,خدا می دونه چه موجوداتی اونجا زندگی می کنن
591,shabih nist vagheaan yek sag ast.,شبیه نیس، واقعا یه سگه
96,hengami ke soraghe bar sabzigatash raft ta unha ra be doosh begirad va be rahash edameh dahad.,هنگامی که سراغ بار سبزیجاتش رفت تا انها را به دوش بگیرد و به راهش دامه دهد.
1083,az hame mohemtar movafagh be kashfe raaz va moamaaye ghadimiye khod shodam.,از همه مهمتر موفق به کشف راز و معمای قدیمی خود شدم
1782,biyaa invar daaran miyaan.,بیا اینور دارن می یان.
950,alaan ham montazeram biaayad ke bekhaabim,الانم منتظرم بیاد که بخابیم
1454,pas mishe befarmaaid dalile in eghteshaashaat va sar o sedaa haa chiye?,پس میشه بفرمائید دلیل این اغتشاشات و سر و صداها چیه؟
891,biaa beshin royaa jaan kaari ham daashti begoo javaan haa anjaam midehand,بیا بشین رویا جون کاریم داشتی بگو جوونا انجام میدن.
1706,taa dobaare beshe oon mojoode kamyaabo did.,تا دوباره بشه اون موجود کمیاب دید
709,daastaanash mofasal va jaaleb ast,داستانش مفصل و جالبه
238,emsal dar lig torkeyeh bazi mikounad.,امسال در لیگ ترکیه بازی می کند
722,yani jedi ghabool mikoni?,يعني جدي قبول مي کني ؟
